name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
gnp_0000,100,0.1,1,0.44,99.51,"69.0
",0.0,False,508,1,0.11334174485645071,0.05347994594976064
gnp_0001,100,0.1,2,0.45,100.66,"68.0
",0.0,False,484,1,0.09770458780985097,0.04774485254102122
gnp_0002,100,0.1,3,0.54,138.64,"69.0
",0.0,False,487,1,0.08356847564200505,0.04320500736443345
gnp_0003,100,0.1,4,0.50,137.37,"70.0
",0.0,False,498,1,0.09244361194361193,0.062121100956108025
gnp_0004,100,0.1,5,0.44,97.81,"68.0
",0.0,False,474,1,0.09395851860557743,0.051915888720605236
gnp_0005,100,0.3,1,1.54,505.53,"85.0
",0.0,False,1486,1,0.3041179339982717,0.022415107434136727
gnp_0006,100,0.3,2,1.33,458.72,"85.0
",0.0,False,1479,1,0.2953121537443838,0.02208656393186549
gnp_0007,100,0.3,3,1.39,485.78,"85.0
",0.0,False,1487,1,0.2928738536809791,0.020364961681156944
gnp_0008,100,0.3,4,1.62,595.71,"86.0
",0.0,False,1456,1,0.29233266268997854,0.021236995246520868
gnp_0009,100,0.3,5,1.23,437.03,"85.0
",0.0,False,1487,1,0.3010312402113625,0.02459898858126327
gnp_0010,100,0.5,1,1.40,431.27,"91.0
",0.0,False,2466,1,0.4972107853687921,0.011252876672354192
gnp_0011,100,0.5,2,1.88,641.39,"91.0
",0.0,False,2464,1,0.49777691926904005,0.012010605739638143
gnp_0012,100,0.5,3,1.56,468.93,"91.0
",0.0,False,2523,1,0.5099314691910051,0.01133935553699457
gnp_0013,100,0.5,4,1.19,342.99,"90.0
",0.0,False,2474,1,0.4985302389247196,0.010965347345967418
gnp_0014,100,0.5,5,1.40,414.29,"91.0
",0.0,False,2493,1,0.5042508519469536,0.014756321143005928
gnp_0015,100,0.7,1,0.95,322.04,"94.0
",0.0,False,3451,1,0.6985820774264992,0.006839356801675216
gnp_0016,100,0.7,2,0.97,317.90,"94.0
",0.0,False,3451,1,0.6965638230174794,0.006331917751067391
gnp_0017,100,0.7,3,0.95,321.08,"94.0
",0.0,False,3459,1,0.6996952076390176,0.006894204247626348
gnp_0018,100,0.7,4,0.90,312.40,"94.0
",0.0,False,3451,1,0.6967008552351796,0.006995411986696695
gnp_0019,100,0.7,5,0.91,310.54,"94.0
",0.0,False,3480,1,0.7034809672328916,0.007974250085118467
gnp_0020,100,0.9,1,0.39,147.19,"96.0
",0.0,False,4435,1,0.8958033632015113,0.002195584970426394
gnp_0021,100,0.9,2,0.39,155.24,"96.0
",0.0,False,4459,1,0.9003912670406963,0.0022333898727459295
gnp_0022,100,0.9,3,0.44,174.62,"96.0
",0.0,False,4485,1,0.9059732313426153,0.0020214143467314847
gnp_0023,100,0.9,4,0.40,154.19,"96.0
",0.0,False,4470,1,0.903024661671574,0.0023175816891212145
gnp_0024,100,0.9,5,0.35,133.16,"96.0
",0.0,False,4443,1,0.8977221654235354,0.002496135238299794
gnp_0025,150,0.1,1,27.26,11402.08,"115.0
",0.0,False,1155,1,0.10354726190935638,0.03192125752225641
gnp_0026,150,0.1,2,16.63,6810.06,"113.0
",0.0,False,1133,1,0.09343606670621073,0.03471829102688743
gnp_0027,150,0.1,3,21.59,9054.33,"113.0
",0.0,False,1106,1,0.0951741001115614,0.03221099921782991
gnp_0028,150,0.1,4,15.62,6776.06,"113.0
",0.0,False,1094,1,0.09549989314614431,0.03657364560753955
gnp_0029,150,0.1,5,4.67,1768.48,"110.0
",0.0,False,1068,1,0.09953711106201346,0.03644899320145448
gnp_0030,150,0.3,1,26.93,12496.50,"134.0
",0.0,False,3365,1,0.30203050289057853,0.014222126495463536
gnp_0031,150,0.3,2,26.90,12002.56,"133.0
",0.0,False,3383,1,0.3041145149447198,0.014644610048454297
gnp_0032,150,0.3,3,27.69,11219.37,"133.0
",0.0,False,3315,1,0.2922090584706995,0.014471250046751337
gnp_0033,150,0.3,4,29.23,12890.81,"133.0
",0.0,False,3327,1,0.29953402798202244,0.01400149359249291
gnp_0034,150,0.3,5,23.45,10459.81,"133.0
",0.0,False,3333,1,0.29997181491263725,0.014344171275252122
gnp_0035,150,0.5,1,7.94,3560.45,"140.0
",0.0,False,5601,1,0.5016689538763095,0.008559782521896205
gnp_0036,150,0.5,2,8.49,3791.19,"140.0
",0.0,False,5629,1,0.5034844226109358,0.007695512608710928
gnp_0037,150,0.5,3,9.20,4015.01,"140.0
",0.0,False,5629,1,0.5036381275935294,0.0087662779219607
gnp_0038,150,0.5,4,8.41,3996.42,"140.0
",0.0,False,5641,1,0.5057368310348469,0.0076728200926490285
gnp_0039,150,0.5,5,8.72,4119.85,"140.0
",0.0,False,5556,1,0.4967557460531555,0.009058640300075771
gnp_0040,150,0.7,1,4.81,2096.19,"143.0
",0.0,False,7830,1,0.7008499721333695,0.004559644731003942
gnp_0041,150,0.7,2,3.43,1513.50,"143.0
",0.0,False,7872,1,0.7036136351023634,0.003874299674379723
gnp_0042,150,0.7,3,4.24,1865.43,"143.0
",0.0,False,7820,1,0.69921661545457,0.004159389413590626
gnp_0043,150,0.7,4,7.19,3200.37,"144.0
",0.0,False,7818,1,0.699138529118909,0.0037916848922776867
gnp_0044,150,0.7,5,5.18,2198.90,"143.0
",0.0,False,7806,1,0.6979084151804777,0.00411249315716488
gnp_0045,150,0.9,1,1.94,787.75,"146.0
",0.0,False,10007,1,0.8953810670229029,0.0014361674350768252
gnp_0046,150,0.9,2,1.84,753.82,"146.0
",0.0,False,10103,1,0.9040306464407794,0.0015116549200892746
gnp_0047,150,0.9,3,1.99,819.48,"146.0
",0.0,False,10038,1,0.8981412958407653,0.0014360377462042176
gnp_0048,150,0.9,4,1.68,685.95,"146.0
",0.0,False,10078,1,0.901736510452112,0.0012792566702066945
gnp_0049,150,0.9,5,1.85,749.73,"146.0
",0.0,False,10021,1,0.8963469711475273,0.0011070176679048764
gnp_0050,200,0.1,1,1475.83,625931.81,"160.0
",0.0,False,2035,1,0.10353363216025951,0.02397810392043229
gnp_0051,200,0.1,2,1519.16,684459.99,"159.0
",0.0,False,1948,1,0.09692539675676055,0.02193597160344022
gnp_0052,200,0.1,3,666.11,313227.13,"158.0
",0.0,False,1976,1,0.1020103420640815,0.021171955367027227
gnp_0053,200,0.1,4,1387.04,586134.40,"159.0
",0.0,False,1943,1,0.09899828921446233,0.02509865615107381
gnp_0054,200,0.1,5,338.19,152814.57,"157.0
",0.0,False,1962,1,0.1007685711738307,0.026131166323087283
gnp_0055,200,0.3,1,180.41,71972.83,"181.0
",0.0,False,5968,1,0.2991868860687373,0.012034826341787921
