name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_0000,100,2,1,0.03,7.06,"51.0
",0.0,False,100,3,0.0,0.0
rrg_0001,100,2,2,0.01,3.27,"51.0
",0.0,False,100,3,0.0,0.0
rrg_0002,100,2,3,0.01,3.79,"51.0
",0.0,False,100,4,0.06,0.23748684174075835
rrg_0003,100,2,4,0.01,0.95,"50.0
",0.0,False,100,1,0.0,0.0
rrg_0004,100,2,5,0.01,0.99,"50.0
",0.0,False,100,1,0.0,0.0
rrg_0005,100,3,1,0.03,9.62,"77.0
",0.0,False,150,8,0.02,0.13999999999999999
rrg_0006,100,3,2,0.04,9.58,"76.0
",0.0,False,150,2,0.0,0.0
rrg_0007,100,3,3,0.03,6.20,"76.0
",0.0,False,150,3,0.0,0.0
rrg_0008,100,3,4,0.03,8.94,"77.0
",0.0,False,150,4,0.0,0.0
rrg_0009,100,3,5,0.03,8.14,"76.0
",0.0,False,150,3,0.0,0.0
rrg_0010,100,4,1,0.05,13.17,"101.0
",0.0,False,200,3,0.0,0.0
rrg_0011,100,4,2,0.04,9.18,"101.0
",0.0,False,200,3,0.0,0.0
rrg_0012,100,4,3,0.02,4.57,"101.0
",0.0,False,200,3,0.0,0.0
rrg_0013,100,4,4,0.03,8.78,"101.0
",0.0,False,200,3,0.0,0.0
rrg_0014,100,4,5,0.04,12.01,"101.0
",0.0,False,200,3,0.0,0.0
rrg_0015,100,5,1,0.04,11.64,"126.0
",0.0,False,250,4,0.0,0.0
rrg_0016,100,5,2,0.05,12.35,"126.0
",0.0,False,250,3,0.0,0.0
rrg_0017,100,5,3,0.01,3.75,"125.0
",0.0,False,250,2,0.0,0.0
rrg_0018,100,5,4,0.04,12.72,"127.0
",0.0,False,250,6,0.0,0.0
rrg_0019,100,5,5,0.07,18.84,"126.0
",0.0,False,250,3,0.0,0.0
rrg_0020,100,7,1,0.02,4.80,"150.0
",0.0,False,300,3,0.0,0.0
rrg_0021,100,7,2,0.09,23.46,"151.0
",0.0,False,300,2,0.0,0.0
rrg_0022,100,7,3,0.02,6.26,"151.0
",0.0,False,300,4,0.0,0.0
rrg_0023,100,7,4,0.02,7.52,"151.0
",0.0,False,300,5,0.0,0.0
rrg_0024,100,7,5,0.01,3.39,"150.0
",0.0,False,300,1,0.0,0.0
rrg_0025,100,10,1,0.03,7.38,"250.0
",0.0,False,500,2,0.0,0.0
rrg_0026,100,10,2,0.02,7.06,"250.0
",0.0,False,500,2,0.0,0.0
rrg_0027,100,10,3,0.02,6.41,"250.0
",0.0,False,500,1,0.0,0.0
rrg_0028,100,10,4,0.02,6.94,"250.0
",0.0,False,500,2,0.0,0.0
rrg_0029,100,10,5,0.17,46.17,"251.0
",0.0,False,500,3,0.006,0.0772269383052313
rrg_0030,100,20,1,0.21,50.48,"55.0
",0.0,False,150,1,0.019999999999999997,0.07916228058025275
rrg_0031,100,20,2,0.18,44.01,"56.0
",0.0,False,150,1,0.03,0.09539392014169458
rrg_0032,100,20,3,0.15,32.81,"55.0
",0.0,False,150,1,0.02,0.07916228058025276
rrg_0033,100,20,4,0.39,95.30,"55.0
",0.0,False,150,1,0.01,0.05686240703077327
rrg_0034,100,20,5,0.32,74.98,"55.0
",0.0,False,150,1,0.02,0.07916228058025275
rrg_0035,100,30,1,0.47,110.94,"83.0
",0.0,False,225,1,0.02,0.07916228058025278
rrg_0036,100,30,2,0.91,212.61,"83.0
",0.0,False,225,1,0.006666666666666667,0.04666666666666666
rrg_0037,100,30,3,0.51,133.11,"84.0
",0.0,False,225,1,0.006666666666666667,0.04666666666666666
rrg_0038,100,30,4,0.71,181.20,"84.0
",0.0,False,225,1,0.026666666666666665,0.10554970744033704
rrg_0039,100,30,5,0.64,161.29,"84.0
",0.0,False,225,1,0.02,0.07916228058025278
rrg_0040,150,2,1,1.55,412.41,"112.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_0041,150,2,2,0.97,261.82,"111.0
",0.0,False,300,1,0.009999999999999998,0.05686240703077326
rrg_0042,150,2,3,1.80,568.58,"112.0
",0.0,False,300,1,0.014999999999999998,0.06910137480542626
rrg_0043,150,2,4,1.90,526.71,"111.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_0044,150,2,5,1.29,356.69,"111.0
",0.0,False,300,1,0.015,0.06910137480542626
rrg_0045,150,3,1,2.52,844.24,"138.0
",0.0,False,375,1,0.004,0.03629508690350987
rrg_0046,150,3,2,5.83,2211.18,"139.0
",0.0,False,375,1,0.007999999999999998,0.051016337252557296
rrg_0047,150,3,3,5.12,1932.09,"139.0
",0.0,False,375,1,0.007999999999999998,0.0510163372525573
rrg_0048,150,3,4,3.13,1075.63,"139.0
",0.0,False,375,1,0.007999999999999998,0.051016337252557296
rrg_0049,150,3,5,3.56,1265.25,"137.0
",0.0,False,375,1,0.004,0.03629508690350986
rrg_0050,150,4,1,5.90,2287.13,"166.0
",0.0,False,450,1,0.016666666666666666,0.0726483157256779
rrg_0051,150,4,2,9.15,3612.75,"166.0
",0.0,False,450,1,0.006666666666666667,0.04666666666666666
rrg_0052,150,4,3,13.94,5621.98,"166.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554
rrg_0053,150,4,4,5.90,2305.34,"165.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554005
rrg_0054,150,4,5,8.94,3551.94,"165.0
",0.0,False,450,1,0.0,0.0
rrg_0055,150,5,1,670.63,287113.96,"276.0
",0.0,False,750,1,0.004,0.03629508690350987
rrg_0056,150,5,2,168.89,73092.80,"274.0
",0.0,False,750,1,0.008,0.051016337252557296
rrg_0057,150,5,3,645.32,277159.29,"276.0
",0.0,False,750,1,0.002,0.02574231276841043
rrg_0058,150,5,4,1546.93,672495.99,"276.0
",0.0,False,750,1,0.002,0.02574231276841043
rrg_0059,150,5,5,1020.77,436248.41,"276.0
",0.0,False,750,1,0.006,0.04431703961232067
rrg_0060,150,7,1,0.75,196.82,"60.0
",0.0,False,200,1,0.019999999999999997,0.054160256030906406
rrg_0061,150,7,2,0.65,176.78,"61.0
",0.0,False,200,1,0.025,0.06400954789890506
rrg_0062,150,7,3,0.63,174.01,"60.0
",0.0,False,200,1,0.01,0.03958114029012638
rrg_0063,150,7,4,0.17,51.47,"60.0
",0.0,False,200,1,0.03,0.06403124237432849
rrg_0064,150,7,5,0.61,164.22,"60.0
",0.0,False,200,1,0.01,0.03958114029012638
rrg_0065,150,10,1,1.81,531.36,"89.0
",0.0,False,300,1,0.02,0.057477854028344724
rrg_0066,150,10,2,1.02,317.18,"88.0
",0.0,False,300,1,0.013333333333333332,0.045215533220835116
rrg_0067,150,10,3,3.37,1221.34,"90.0
",0.0,False,300,1,0.013333333333333334,0.045215533220835116
rrg_0068,150,10,4,2.46,835.78,"90.0
",0.0,False,300,1,0.013333333333333332,0.05277485372016852
rrg_0069,150,10,5,2.22,740.68,"90.0
",0.0,False,300,1,0.023333333333333334,0.05783117190965824
rrg_0070,150,20,1,12.87,5085.61,"119.0
",0.0,False,400,1,0.01,0.03958114029012639
rrg_0071,150,20,2,4.43,1560.39,"119.0
",0.0,False,400,1,0.0225,0.061638507084091146
rrg_0072,150,20,3,16.92,6920.27,"119.0
",0.0,False,400,1,0.0075,0.03455068740271313
rrg_0073,150,20,4,7.20,2710.59,"119.0
",0.0,False,400,1,0.017499999999999998,0.0510922368532311
rrg_0074,150,20,5,8.18,3260.25,"119.0
",0.0,False,400,1,0.0225,0.061638507084091146
rrg_0075,150,30,1,85.11,37680.66,"149.0
",0.0,False,500,1,0.01,0.03958114029012639
rrg_0076,150,30,2,56.45,24741.07,"148.0
",0.0,False,500,1,0.011999999999999999,0.04308131845707602
rrg_0077,150,30,3,36.67,16088.64,"147.0
",0.0,False,500,1,0.006,0.031048349392520047
rrg_0078,150,30,4,41.19,17493.63,"148.0
",0.0,False,500,1,0.006,0.031048349392520047
