name,time,ticks,sol_nodes,nodes,edges,cnnct_cmp,avg_clust,std_dev_clust,radius,diameter
gnp_000,0.39,99.51,69.0,100,508,1,0.11334174485645071,0.05347994594976064,3,4
gnp_001,0.45,100.66,68.0,100,484,1,0.09770458780985097,0.04774485254102122,3,4
gnp_002,0.53,138.64,69.0,100,487,1,0.08356847564200505,0.04320500736443345,3,4
gnp_003,1.39,431.27,91.0,100,2466,1,0.4972107853687921,0.011252876672354192,2,2
gnp_004,1.85,641.39,91.0,100,2464,1,0.49777691926904005,0.012010605739638143,2,2
gnp_005,1.55,468.93,91.0,100,2523,1,0.5099314691910051,0.01133935553699457,2,2
gnp_006,0.39,147.19,96.0,100,4435,1,0.8958033632015113,0.002195584970426394,2,2
gnp_007,0.39,155.24,96.0,100,4459,1,0.9003912670406963,0.0022333898727459295,2,2
gnp_008,0.44,174.62,96.0,100,4485,1,0.9059732313426153,0.0020214143467314847,2,2
gnp_009,1463.40,625931.81,160.0,200,2035,1,0.10353363216025951,0.02397810392043229,3,3
gnp_010,1483.20,684459.99,159.0,200,1948,1,0.09692539675676055,0.02193597160344022,3,3
gnp_011,651.85,313227.13,158.0,200,1976,1,0.1020103420640815,0.021171955367027227,3,3
gnp_012,67.55,31741.40,189.0,200,9915,1,0.4984304147562806,0.005745122285570586,2,2
gnp_013,70.08,31000.51,189.0,200,9975,1,0.5009524215168774,0.006455179269921584,2,2
gnp_014,62.94,31666.61,189.0,200,9942,1,0.49984047782696217,0.006090728859873547,2,2
gnp_015,5.40,2188.01,196.0,200,17874,1,0.8981371429121937,0.0010545707757008515,2,2
gnp_016,5.54,2226.77,196.0,200,17909,1,0.8998431970740896,0.0008729936641272355,2,2
gnp_017,4.10,1776.94,196.0,200,17935,1,0.9014192901081947,0.0010469059931477425,2,2
