name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_00000,100,2,1,0.09,7.06,"51.0
",0.0,False,100,3,0.0,0.0
rrg_00001,100,2,2,0.01,3.27,"51.0
",0.0,False,100,3,0.0,0.0
rrg_00002,100,2,3,0.01,3.79,"51.0
",0.0,False,100,4,0.06,0.23748684174075835
rrg_00003,100,2,4,0.01,0.95,"50.0
",0.0,False,100,1,0.0,0.0
rrg_00004,100,2,5,0.01,0.99,"50.0
",0.0,False,100,1,0.0,0.0
rrg_00005,100,2,6,0.01,2.04,"50.0
",0.0,False,100,2,0.0,0.0
rrg_00006,100,2,7,0.01,3.01,"50.0
",0.0,False,100,3,0.0,0.0
rrg_00007,100,2,8,0.01,3.84,"51.0
",0.0,False,100,4,0.03,0.17058722109231983
rrg_00008,100,2,9,0.02,6.07,"51.0
",0.0,False,100,2,0.0,0.0
rrg_00009,100,2,10,0.01,1.95,"50.0
",0.0,False,100,2,0.0,0.0
rrg_00010,100,2,11,0.01,3.96,"51.0
",0.0,False,100,4,0.03,0.17058722109231983
rrg_00011,100,2,12,0.01,4.13,"51.0
",0.0,False,100,4,0.0,0.0
rrg_00012,100,2,13,0.01,3.09,"51.0
",0.0,False,100,3,0.03,0.1705872210923198
rrg_00013,100,2,14,0.02,5.91,"51.0
",0.0,False,100,2,0.03,0.1705872210923198
rrg_00014,100,2,15,0.01,1.88,"50.0
",0.0,False,100,2,0.0,0.0
rrg_00015,100,3,1,0.03,9.62,"77.0
",0.0,False,150,8,0.02,0.13999999999999999
rrg_00016,100,3,2,0.04,9.58,"76.0
",0.0,False,150,2,0.0,0.0
rrg_00017,100,3,3,0.02,6.20,"76.0
",0.0,False,150,3,0.0,0.0
rrg_00018,100,3,4,0.03,8.94,"77.0
",0.0,False,150,4,0.0,0.0
rrg_00019,100,3,5,0.03,8.14,"76.0
",0.0,False,150,3,0.0,0.0
rrg_00020,100,3,6,0.04,9.94,"76.0
",0.0,False,150,2,0.02,0.13999999999999999
rrg_00021,100,3,7,0.01,1.53,"75.0
",0.0,False,150,1,0.0,0.0
rrg_00022,100,3,8,0.03,8.74,"76.0
",0.0,False,150,4,0.0,0.0
rrg_00023,100,3,9,0.01,3.48,"76.0
",0.0,False,150,3,0.02,0.13999999999999999
rrg_00024,100,3,10,0.03,7.69,"76.0
",0.0,False,150,5,0.0,0.0
rrg_00025,100,3,11,0.01,4.74,"76.0
",0.0,False,150,4,0.0,0.0
rrg_00026,100,3,12,0.01,4.02,"76.0
",0.0,False,150,3,0.0,0.0
rrg_00027,100,3,13,0.03,9.33,"77.0
",0.0,False,150,5,0.02,0.13999999999999999
rrg_00028,100,3,14,0.01,3.29,"75.0
",0.0,False,150,3,0.0,0.0
rrg_00029,100,3,15,0.01,2.48,"75.0
",0.0,False,150,2,0.0,0.0
rrg_00030,100,4,1,0.05,13.17,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00031,100,4,2,0.04,9.18,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00032,100,4,3,0.02,4.57,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00033,100,4,4,0.03,8.78,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00034,100,4,5,0.04,12.01,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00035,100,4,6,0.01,2.24,"100.0
",0.0,False,200,1,0.0,0.0
rrg_00036,100,4,7,0.02,6.18,"101.0
",0.0,False,200,5,0.0,0.0
rrg_00037,100,4,8,0.04,9.70,"101.0
",0.0,False,200,2,0.0,0.0
rrg_00038,100,4,9,0.04,10.01,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00039,100,4,10,0.01,3.92,"100.0
",0.0,False,200,3,0.0,0.0
rrg_00040,100,4,11,0.06,14.68,"101.0
",0.0,False,200,2,0.0,0.0
rrg_00041,100,4,12,0.03,8.18,"101.0
",0.0,False,200,4,0.0,0.0
rrg_00042,100,4,13,0.06,16.03,"102.0
",0.0,False,200,4,0.03,0.1705872210923198
rrg_00043,100,4,14,0.05,12.27,"101.0
",0.0,False,200,3,0.0,0.0
rrg_00044,100,4,15,0.06,15.71,"101.0
",0.0,False,200,2,0.015,0.12155245781143219
rrg_00045,100,5,1,0.04,11.64,"126.0
",0.0,False,250,4,0.0,0.0
rrg_00046,100,5,2,0.05,12.35,"126.0
",0.0,False,250,3,0.0,0.0
rrg_00047,100,5,3,0.01,3.75,"125.0
",0.0,False,250,2,0.0,0.0
rrg_00048,100,5,4,0.04,12.72,"127.0
",0.0,False,250,6,0.0,0.0
rrg_00049,100,5,5,0.07,18.84,"126.0
",0.0,False,250,3,0.0,0.0
rrg_00050,100,5,6,0.01,3.63,"125.0
",0.0,False,250,2,0.0,0.0
rrg_00051,100,5,7,0.05,14.42,"126.0
",0.0,False,250,3,0.0,0.0
rrg_00052,100,5,8,0.07,18.29,"126.0
",0.0,False,250,2,0.0,0.0
rrg_00053,100,5,9,0.02,8.50,"126.0
",0.0,False,250,7,0.012,0.1088852607105296
rrg_00054,100,5,10,0.01,4.40,"125.0
",0.0,False,250,3,0.0,0.0
rrg_00055,100,5,11,0.06,17.05,"127.0
",0.0,False,250,4,0.0,0.0
rrg_00056,100,5,12,0.05,13.95,"126.0
",0.0,False,250,5,0.0,0.0
rrg_00057,100,5,13,0.04,11.14,"126.0
",0.0,False,250,4,0.012,0.1088852607105296
rrg_00058,100,5,14,0.05,13.34,"127.0
",0.0,False,250,4,0.0,0.0
rrg_00059,100,5,15,0.05,14.45,"127.0
",0.0,False,250,6,0.012,0.10888526071052959
rrg_00060,100,7,1,0.02,4.80,"150.0
",0.0,False,300,3,0.0,0.0
rrg_00061,100,7,2,0.09,23.46,"151.0
",0.0,False,300,2,0.0,0.0
rrg_00062,100,7,3,0.02,6.26,"151.0
",0.0,False,300,4,0.0,0.0
rrg_00063,100,7,4,0.02,7.52,"151.0
",0.0,False,300,5,0.0,0.0
rrg_00064,100,7,5,0.01,3.39,"150.0
",0.0,False,300,1,0.0,0.0
rrg_00065,100,7,6,0.03,10.63,"151.0
",0.0,False,300,8,0.0,0.0
rrg_00066,100,7,7,0.02,8.47,"152.0
",0.0,False,300,6,0.01,0.09949874371066199
rrg_00067,100,7,8,0.02,6.20,"151.0
",0.0,False,300,3,0.0,0.0
rrg_00068,100,7,9,0.02,5.24,"151.0
",0.0,False,300,3,0.01,0.09949874371066199
rrg_00069,100,7,10,0.02,6.84,"150.0
",0.0,False,300,5,0.0,0.0
rrg_00070,100,7,11,0.02,5.56,"151.0
",0.0,False,300,3,0.01,0.09949874371066199
rrg_00071,100,7,12,0.09,24.86,"151.0
",0.0,False,300,4,0.0,0.0
rrg_00072,100,7,13,0.02,5.05,"151.0
",0.0,False,300,3,0.02,0.13999999999999999
rrg_00073,100,7,14,0.01,4.12,"150.0
",0.0,False,300,2,0.0,0.0
rrg_00074,100,7,15,0.02,6.57,"151.0
",0.0,False,300,4,0.01,0.09949874371066199
rrg_00075,100,10,1,0.03,7.38,"250.0
",0.0,False,500,2,0.0,0.0
rrg_00076,100,10,2,0.02,7.06,"250.0
",0.0,False,500,2,0.0,0.0
rrg_00077,100,10,3,0.02,6.41,"250.0
",0.0,False,500,1,0.0,0.0
rrg_00078,100,10,4,0.02,6.94,"250.0
",0.0,False,500,2,0.0,0.0
rrg_00079,100,10,5,0.17,46.17,"251.0
",0.0,False,500,3,0.006,0.0772269383052313
rrg_00080,100,10,6,0.10,27.29,"252.0
",0.0,False,500,4,0.0,0.0
rrg_00081,100,10,7,0.02,6.14,"250.0
",0.0,False,500,1,0.0,0.0
