name,n,p,k,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,avg_deg,std_deg
wsg_0000,100,0.0001,2,1,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0001,100,0.0001,2,2,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0002,100,0.0001,2,3,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0003,100,0.0001,2,4,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0004,100,0.0001,2,5,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0005,100,0.0001,2,6,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0006,100,0.0001,2,7,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0007,100,0.0001,2,8,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0008,100,0.0001,2,9,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0009,100,0.0001,2,10,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0010,100,0.0001,2,11,0.00,1.06,"50.0
",0.0,False,100,1,0.0,2.0,0.2
wsg_0011,100,0.0001,2,12,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0012,100,0.0001,2,13,0.01,1.27,"50.0
",0.0,False,100,1,0.0,2.0,0.0
wsg_0013,100,0.0001,2,14,0.00,0.92,"50.0
",0.0,False,100,1,0.0,2.0,0.1414213562373095
wsg_0014,100,0.0001,2,15,0.00,0.81,"50.0
",0.0,False,100,1,0.0,2.0,0.2
wsg_0015,100,0.0001,5,1,0.01,0.57,"49.0
",0.0,False,100,1,0.0,2.0,0.37416573867739417
wsg_0016,100,0.0001,5,2,0.00,1.04,"50.0
",0.0,False,100,1,0.0,2.0,0.2449489742783178
wsg_0017,100,0.0001,5,3,0.01,1.63,"50.0
",0.0,False,100,2,0.0,2.0,0.469041575982343
wsg_0018,100,0.0001,5,4,0.01,0.62,"50.0
",0.0,False,100,2,0.0,2.0,0.37416573867739417
wsg_0019,100,0.0001,5,5,0.00,0.41,"50.0
",0.0,False,100,3,0.02333333333333333,2.0,0.469041575982343
wsg_0020,100,0.0001,5,6,0.00,0.32,"48.0
",0.0,False,100,3,0.016666666666666666,2.0,0.6
wsg_0021,100,0.0001,5,7,0.00,0.32,"48.0
",0.0,False,100,2,0.015,2.0,0.565685424949238
wsg_0022,100,0.0001,5,8,0.00,0.26,"45.0
",0.0,False,100,1,0.0,2.0,0.7348469228349535
wsg_0023,100,0.0001,5,9,0.00,0.24,"47.0
",0.0,False,100,1,0.0,2.0,0.7483314773547883
wsg_0024,100,0.0001,5,10,0.00,0.22,"46.0
",0.0,False,100,1,0.0,2.0,0.7483314773547883
wsg_0025,100,0.0001,5,11,0.00,0.22,"46.0
",0.0,False,100,4,0.023333333333333334,2.0,0.7348469228349535
wsg_0026,100,0.0001,5,12,0.00,0.21,"45.0
",0.0,False,100,2,0.0,2.0,0.8366600265340756
wsg_0027,100,0.0001,5,13,0.00,0.23,"44.0
",0.0,False,100,2,0.0,2.0,0.9273618495495703
wsg_0028,100,0.0001,5,14,0.00,0.19,"46.0
",0.0,False,100,1,0.0,2.0,0.8246211251235321
wsg_0029,100,0.0001,5,15,0.00,0.23,"45.0
",0.0,False,100,1,0.0,2.0,0.7874007874011811
wsg_0030,100,0.0001,10,1,0.00,0.19,"43.0
",0.0,False,100,2,0.015,2.0,0.916515138991168
wsg_0031,100,0.0001,10,2,0.00,0.20,"44.0
",0.0,False,100,3,0.03833333333333334,2.0,0.938083151964686
wsg_0032,100,0.0001,10,3,0.00,0.18,"43.0
",0.0,False,100,2,0.016666666666666666,2.0,1.019803902718557
wsg_0033,100,0.0001,10,4,0.00,0.23,"46.0
",0.0,False,100,2,0.0,2.0,0.8602325267042626
wsg_0034,100,0.0001,10,5,0.00,0.18,"44.0
",0.0,False,100,2,0.015,2.0,1.019803902718557
wsg_0035,100,0.0001,10,6,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0036,100,0.0001,10,7,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0037,100,0.0001,10,8,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0038,100,0.0001,10,9,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0039,100,0.0001,10,10,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0040,100,0.0001,10,11,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0041,100,0.0001,10,12,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0042,100,0.0001,10,13,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0043,100,0.0001,10,14,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0044,100,0.0001,10,15,0.01,2.08,"67.0
",0.0,False,200,1,0.5,4.0,0.0
wsg_0045,100,0.0001,20,1,0.01,1.09,"66.0
",0.0,False,200,1,0.47200000000000003,4.0,0.282842712474619
wsg_0046,100,0.0001,20,2,0.03,7.61,"67.0
",0.0,False,200,1,0.4963333333333334,4.0,0.1414213562373095
wsg_0047,100,0.0001,20,3,0.01,1.93,"67.0
",0.0,False,200,1,0.49633333333333335,4.0,0.1414213562373095
wsg_0048,100,0.0001,20,4,0.03,6.34,"67.0
",0.0,False,200,1,0.48966666666666675,4.0,0.1414213562373095
wsg_0049,100,0.0001,20,5,0.01,1.27,"66.0
",0.0,False,200,1,0.4793333333333334,4.0,0.2
wsg_0050,100,0.0001,20,6,0.02,4.15,"65.0
",0.0,False,200,1,0.38766666666666666,4.0,0.5830951894845301
wsg_0051,100,0.0001,20,7,0.01,1.54,"65.0
",0.0,False,200,1,0.389,4.0,0.6
wsg_0052,100,0.0001,20,8,0.01,1.07,"63.0
",0.0,False,200,1,0.37933333333333336,4.0,0.565685424949238
wsg_0053,100,0.0001,20,9,0.01,1.49,"64.0
",0.0,False,200,1,0.3916666666666668,4.0,0.6
wsg_0054,100,0.0001,20,10,0.01,1.04,"64.0
",0.0,False,200,1,0.37300000000000005,4.0,0.565685424949238
wsg_0055,100,0.0001,20,11,0.02,2.90,"60.0
",0.0,False,200,1,0.24671428571428566,4.0,0.9899494936611666
wsg_0056,100,0.0001,20,12,0.03,4.39,"61.0
",0.0,False,200,1,0.2671428571428571,4.0,1.0392304845413265
wsg_0057,100,0.0001,20,13,0.02,3.74,"58.0
",0.0,False,200,1,0.21442857142857144,4.0,1.1489125293076057
wsg_0058,100,0.0001,20,14,0.04,9.71,"58.0
",0.0,False,200,1,0.11242857142857143,4.0,1.0583005244258363
